Runs P1 P2 P3
Run0000 0.005596677956500359 0.2592392589466461 0.9533633576969749
Run0001 0.9816585552077114 0.2592392589466461 0.9533633576969749
Run0002 0.005596677956500359 0.4634234498006093 0.9533633576969749
Run0003 0.005596677956500359 0.2592392589466461 0.5682039481094245
Run0004 0.005596677956500359 0.4634234498006093 0.5682039481094245
Run0005 0.9816585552077114 0.2592392589466461 0.5682039481094245
Run0006 0.9816585552077114 0.4634234498006093 0.9533633576969749
Run0007 0.9816585552077114 0.4634234498006093 0.5682039481094245
Run0008 0.4994145447081012 0.7523633425184818 0.4578819061672618
Run0009 0.48784068845611056 0.7523633425184818 0.4578819061672618
Run0010 0.4994145447081012 0.956547533372445 0.4578819061672618
Run0011 0.4994145447081012 0.7523633425184818 0.07272249657971143
Run0012 0.4994145447081012 0.956547533372445 0.07272249657971143
Run0013 0.48784068845611056 0.7523633425184818 0.07272249657971143
Run0014 0.48784068845611056 0.956547533372445 0.4578819061672618
Run0015 0.48784068845611056 0.956547533372445 0.07272249657971143
Run0016 0.7463234780839016 0.012677217160728213 0.7056226319321184
Run0017 0.734749621831911 0.012677217160728213 0.7056226319321184
Run0018 0.7463234780839016 0.7099854915865271 0.7056226319321184
Run0019 0.7463234780839016 0.012677217160728213 0.320463222344568
Run0020 0.7463234780839016 0.7099854915865271 0.320463222344568
Run0021 0.734749621831911 0.012677217160728213 0.320463222344568
Run0022 0.734749621831911 0.7099854915865271 0.7056226319321184
Run0023 0.734749621831911 0.7099854915865271 0.320463222344568
Run0024 0.25250561133230076 0.5058013007325639 0.2101411804024053
Run0025 0.24093175508031012 0.5058013007325639 0.2101411804024053
Run0026 0.25250561133230076 0.21686140801469145 0.2101411804024053
Run0027 0.25250561133230076 0.5058013007325639 0.815944673874281
Run0028 0.25250561133230076 0.21686140801469145 0.815944673874281
Run0029 0.24093175508031012 0.5058013007325639 0.815944673874281
Run0030 0.24093175508031012 0.21686140801469145 0.2101411804024053
Run0031 0.24093175508031012 0.21686140801469145 0.815944673874281
Run0032 0.375960078020201 0.13595823805368715 0.33401154328483357
Run0033 0.11747728839240992 0.13595823805368715 0.33401154328483357
Run0034 0.375960078020201 0.09358038712173251 0.33401154328483357
Run0035 0.375960078020201 0.13595823805368715 0.6920743109918528
Run0036 0.375960078020201 0.09358038712173251 0.6920743109918528
Run0037 0.11747728839240992 0.13595823805368715 0.6920743109918528
Run0038 0.11747728839240992 0.09358038712173251 0.33401154328483357
Run0039 0.11747728839240992 0.09358038712173251 0.6920743109918528
Run0040 0.8697779447718018 0.6290823216255229 0.8294929948145466
Run0041 0.6112951551440108 0.6290823216255229 0.8294929948145466
Run0042 0.8697779447718018 0.5867044706935682 0.8294929948145466
Run0043 0.8697779447718018 0.6290823216255229 0.1965928594621397
Run0044 0.8697779447718018 0.5867044706935682 0.1965928594621397
Run0045 0.6112951551440108 0.6290823216255229 0.1965928594621397
Run0046 0.6112951551440108 0.5867044706935682 0.8294929948145466
Run0047 0.6112951551440108 0.5867044706935682 0.1965928594621397
Run0048 0.6228690113960014 0.382520279839605 0.08627081751997702
Run0049 0.36438622176821034 0.382520279839605 0.08627081751997702
Run0050 0.6228690113960014 0.8332665124794861 0.08627081751997702
Run0051 0.6228690113960014 0.382520279839605 0.44433358522699623
Run0052 0.6228690113960014 0.8332665124794861 0.44433358522699623
Run0053 0.36438622176821034 0.382520279839605 0.44433358522699623
Run0054 0.36438622176821034 0.8332665124794861 0.08627081751997702
Run0055 0.36438622176821034 0.8332665124794861 0.44433358522699623
Run0056 0.12905114464440057 0.8756443634114408 0.5817522690496901
Run0057 0.8582040885198111 0.8756443634114408 0.5817522690496901
Run0058 0.12905114464440057 0.3401424289076504 0.5817522690496901
Run0059 0.12905114464440057 0.8756443634114408 0.9398150367567093
Run0060 0.12905114464440057 0.3401424289076504 0.9398150367567093
Run0061 0.8582040885198111 0.8756443634114408 0.9398150367567093
Run0062 0.8582040885198111 0.3401424289076504 0.5817522690496901
Run0063 0.8582040885198111 0.3401424289076504 0.9398150367567093
Run0064 0.19077837798835068 0.07431772760720769 0.024335636078762882
Run0065 0.5495679218000606 0.07431772760720769 0.024335636078762882
Run0066 0.19077837798835068 0.8949070229259656 0.024335636078762882
Run0067 0.19077837798835068 0.07431772760720769 0.7540094924330669
Run0068 0.19077837798835068 0.8949070229259656 0.7540094924330669
Run0069 0.5495679218000606 0.07431772760720769 0.7540094924330669
Run0070 0.5495679218000606 0.8949070229259656 0.024335636078762882
Run0071 0.5495679218000606 0.8949070229259656 0.7540094924330669
Run0072 0.6845962447399515 0.5674418111790435 0.519817087608476
Run0073 0.05575005504845982 0.5674418111790435 0.519817087608476
Run0074 0.6845962447399515 0.40178293935412984 0.519817087608476
Run0075 0.6845962447399515 0.5674418111790435 0.25852804090335385
Run0076 0.6845962447399515 0.40178293935412984 0.25852804090335385
Run0077 0.05575005504845982 0.5674418111790435 0.25852804090335385
Run0078 0.05575005504845982 0.40178293935412984 0.519817087608476
Run0079 0.05575005504845982 0.40178293935412984 0.25852804090335385
Run0080 0.931505178115752 0.32087976939312557 0.27207636184361944
Run0081 0.7964768551758611 0.32087976939312557 0.27207636184361944
Run0082 0.931505178115752 0.15522089756821197 0.27207636184361944
Run0083 0.931505178115752 0.32087976939312557 0.010787315138497289
Run0084 0.931505178115752 0.15522089756821197 0.010787315138497289
Run0085 0.7964768551758611 0.32087976939312557 0.010787315138497289
Run0086 0.7964768551758611 0.15522089756821197 0.27207636184361944
Run0087 0.7964768551758611 0.15522089756821197 0.010787315138497289
Run0088 0.43768731136415107 0.8140038529649612 0.7675578133733325
Run0089 0.30265898842426026 0.8140038529649612 0.7675578133733325
Run0090 0.43768731136415107 0.6483449811400477 0.7675578133733325
Run0091 0.43768731136415107 0.8140038529649612 0.5062687666682104
Run0092 0.43768731136415107 0.6483449811400477 0.5062687666682104
Run0093 0.30265898842426026 0.8140038529649612 0.5062687666682104
Run0094 0.30265898842426026 0.6483449811400477 0.7675578133733325
Run0095 0.30265898842426026 0.6483449811400477 0.5062687666682104
Run0096 0.3142328446762509 0.44416079028608446 0.6436874504909043
Run0097 0.4261134551121604 0.44416079028608446 0.6436874504909043
Run0098 0.3142328446762509 0.5250639602470888 0.6436874504909043
Run0099 0.3142328446762509 0.44416079028608446 0.8778798553154952
Run0100 0.3142328446762509 0.5250639602470888 0.8778798553154952
Run0101 0.4261134551121604 0.44416079028608446 0.8778798553154952
Run0102 0.4261134551121604 0.5250639602470888 0.6436874504909043
Run0103 0.4261134551121604 0.5250639602470888 0.8778798553154952
Run0104 0.8080507114278517 0.9372848738579203 0.14820599896119116
Run0105 0.9199313218637613 0.9372848738579203 0.14820599896119116
Run0106 0.8080507114278517 0.03193987667525305 0.14820599896119116
Run0107 0.8080507114278517 0.9372848738579203 0.3823984037857821
Run0108 0.8080507114278517 0.03193987667525305 0.3823984037857821
Run0109 0.9199313218637613 0.9372848738579203 0.3823984037857821
Run0110 0.9199313218637613 0.03193987667525305 0.14820599896119116
Run0111 0.9199313218637613 0.03193987667525305 0.3823984037857821
Run0112 0.5611417780520513 0.19759874850016662 0.8914281762557608
Run0113 0.17920452173636003 0.19759874850016662 0.8914281762557608
Run0114 0.5611417780520513 0.2785019184611709 0.8914281762557608
Run0115 0.5611417780520513 0.19759874850016662 0.13465767802092557
Run0116 0.5611417780520513 0.2785019184611709 0.13465767802092557
Run0117 0.17920452173636003 0.19759874850016662 0.13465767802092557
Run0118 0.17920452173636003 0.2785019184611709 0.8914281762557608
Run0119 0.17920452173636003 0.2785019184611709 0.13465767802092557
Run0120 0.06732391130045047 0.6907228320720024 0.3959467247260477
Run0121 0.6730223884879608 0.6907228320720024 0.3959467247260477
Run0122 0.06732391130045047 0.7716260020330067 0.3959467247260477
Run0123 0.06732391130045047 0.6907228320720024 0.6301391295506387
Run0124 0.06732391130045047 0.7716260020330067 0.6301391295506387
Run0125 0.6730223884879608 0.6907228320720024 0.6301391295506387
Run0126 0.6730223884879608 0.7716260020330067 0.3959467247260477
Run0127 0.6730223884879608 0.7716260020330067 0.6301391295506387
Run0128 0.09818752797242551 0.22841900372340634 0.5507846783290831
Run0129 0.33352260509623527 0.22841900372340634 0.5507846783290831
Run0130 0.09818752797242551 0.24768166323793117 0.5507846783290831
Run0131 0.09818752797242551 0.22841900372340634 0.41336599450638917
Run0132 0.09818752797242551 0.24768166323793117 0.41336599450638917
Run0133 0.33352260509623527 0.22841900372340634 0.41336599450638917
Run0134 0.33352260509623527 0.24768166323793117 0.5507846783290831
Run0135 0.33352260509623527 0.24768166323793117 0.41336599450638917
Run0136 0.5920053947240264 0.7215430872952421 0.05530322679936995
Run0137 0.8273404718478361 0.7215430872952421 0.05530322679936995
Run0138 0.5920053947240264 0.740805746809767 0.05530322679936995
Run0139 0.5920053947240264 0.7215430872952421 0.9088474460361022
Run0140 0.5920053947240264 0.740805746809767 0.9088474460361022
Run0141 0.8273404718478361 0.7215430872952421 0.9088474460361022
Run0142 0.8273404718478361 0.740805746809767 0.05530322679936995
Run0143 0.8273404718478361 0.740805746809767 0.9088474460361022
Run0144 0.8389143280998268 0.47498104550932424 0.7985254040939396
Run0145 0.08661367172043487 0.47498104550932424 0.7985254040939396
Run0146 0.8389143280998268 0.9873677885956847 0.7985254040939396
Run0147 0.8389143280998268 0.47498104550932424 0.6611067202712457
Run0148 0.8389143280998268 0.9873677885956847 0.6611067202712457
Run0149 0.08661367172043487 0.47498104550932424 0.6611067202712457
Run0150 0.08661367172043487 0.9873677885956847 0.7985254040939396
Run0151 0.08661367172043487 0.9873677885956847 0.6611067202712457
Run0152 0.3450964613482259 0.96810512908116 0.3030439525642265
Run0153 0.5804315384720357 0.96810512908116 0.3030439525642265
Run0154 0.3450964613482259 0.49424370502384907 0.3030439525642265
Run0155 0.3450964613482259 0.96810512908116 0.16562526874153263
